business_name,street_address,address_nickname,email_address,phone_primary,phone_secondary,website,hours_open_title,hours_open,payment_options,general_info,industry_searched,geo_location_searched
Saa cool air,"100 Clark Pl, Elizabeth, NJ 07206",,saa.cool.air0221@gmail.com, (908) 487-7992,,https://saa-cool-air-llc.business.site,Regular Hours,,,"From air conditioning maintenance and repair to air conditioning replacement and installations, thereâ??s nothing our friendly, qualified team of technicians canâ??t handle to ensure your complete satisfaction and comfort. At Saa cool air llc, we look forward to exceeding your expectations by providing you with a true positive customer service experience. When you call, we send courteous, professional, experienced technicians to your home or place of business for all air conditioning or heating repairs. Each member of our field staff is fully trained in air conditioning and heating repairs. We are confident we will exceed your expectations.",Data Management,"Newark, NJ"
Saa,"350 Bleecker St, New York, NY 10014",,squad@aol.com, (646) 824-8379,(212) 243-1776,http://nycfurnished.com,,,,,Data Management,"Newark, NJ"
"Dr. Tong Saa Chai, MD","450  Clarkson Avenue Suny Downstate Medical Center, Brooklyn, NY 11203",,, (718) 270-1926,,,,,,,Data Management,"Newark, NJ"
Fabi-Saa Inc.,"36 Mckinley Ave, East Hanover, NJ 07936",,customerservice@fabisaainc.com, (973) 528-2234,,http://www.fabisaainc.com,,,,,Data Management,"Newark, NJ"
Saa Deli Grocery,"9401 Avenue L, Brooklyn, NY 11236",,, (718) 272-1570,,,,,,,Data Management,"Newark, NJ"
Fabi Saa Inc,"1 Montgomery St, Belleville, NJ 07109",,, (973) 528-2234,(973) 528-2219,http://www.fabisaa.com,Regular Hours,,,,Data Management,"Newark, NJ"
Iron Mountain,,Serving your local area.,, (866) 204-1524,,https://www.ironmountain.com/?utm_source=yellow_pages&utm_medium=referral&utm_campaign=YP+Records+Management,Regular Hours,,,"Iron Mountain Incorporated (NYSE: IRM) is a global business dedicated to storing, protecting and managing, information and assets.",Data Management,"Newark, NJ"
S A A 99 Cent Store,"22004 Hempstead Ave, Queens Village, NY 11429",,,,,,,,,,Data Management,"Newark, NJ"
Saa Incorporated,"9073 180th St, Jamaica, NY 11432",,, (888) 423-3387,(718) 297-1738,,,,,,Data Management,"Newark, NJ"
Iron Mountain - Newark,"415 Ferry St, Newark, NJ 07105",,, (862) 231-3938,(866) 977-7840,https://locations.ironmountain.com/nj/newark/IM066/?utm_source=yellow_pages&utm_medium=referral&utm_campaign=YP+Shredding,Regular Hours,,"amex, debit, discover, invoicing available, master card, visa","With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.",Data Management,"Newark, NJ"
Saa Fried Chicken and Pizza,"595 Ocean Ave, Jersey City, NJ 07305",,, (201) 839-5439,,,,,,,Data Management,"Newark, NJ"
Iron Mountain,,Serving your local area.,, (866) 204-5697,,https://www.ironmountain.com/?utm_source=yellow_pages&utm_medium=referral&utm_campaign=YP+Shredding,Regular Hours,,,"With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.",Data Management,"Newark, NJ"
"Gianinna Jandy Saa, OD","2204 Bartow Ave, Bronx, NY 10475",Bay Plaza Shopping Ctr,, (718) 324-2020,(347) 843-0443,,,,,,Data Management,"Newark, NJ"
Iron Mountain - Jersey City,"430 Communipaw Ave, Jersey City, NJ 07304",,, (201) 942-5469,(866) 977-9363,https://locations.ironmountain.com/?utm_source=yellow_pages&utm_medium=referral&utm_campaign=YP+Shredding,Regular Hours,,,"With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.",Data Management,"Newark, NJ"
Iron Mountain - Elizabeth,"1189 Magnolia Ave, Elizabeth, NJ 07201",,, (908) 368-4809,(866) 977-7840,https://locations.ironmountain.com/?utm_source=yellow_pages&utm_medium=referral&utm_campaign=YP+Shredding,Regular Hours,,,"With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the global leader for records and information management. Over 75,000 small businesses across the world rely on us to protect information, unlock insights and transform operations through our range of services, including: document scanning and shredding, secure IT asset disposition, physical and digital/cloud storage, and more. Our services help businesses of all sizes and industries lower cost and risk, comply with regulations, recover from disaster and enable a more digital way of working. With a driving passion to protect, Iron Mountain vows to treat the information and assets of our customers as if they were our own. Visit our website for more information.",Data Management,"Newark, NJ"
Time Shred Services,"225 Long Ave, Hillside, NJ 07205","New York City, Manhattan, Brooklyn, Queens, Bronx, Staten Island, Westchester, Long Island & New Jersey",info@timeshred.com, (973) 315-1580,(855) 857-7433,https://www.timeshred.com/locations/shredding-new-jersey,Regular Hours,,"debit, check, all major credit cards",We provide onsite document shredding services to business and residential customers. All paper shredding is performed onsite at your location. We offer next day document destruction services Monday through Saturday.,Data Management,"Newark, NJ"
